title,year,author,genres,pages
Gilead,2004,Marilynne Robinson,Fiction,247
Spider's Web,2000,"Charles Osborne, Agatha Christie",Detective and mystery stories,241
The One Tree,1982,Stephen R. Donaldson,American fiction,479
Rage of angels,1993,Sidney Sheldon,Fiction,512
The Four Loves,2002,Clive Staples Lewis,,170
The Problem of Pain,2002,Clive Staples Lewis,,176
An Autobiography,1977,Agatha Christie,,560
Empires of the Monsoon,1998,Richard Hall,,608
The Gap Into Madness,1994,Stephen R. Donaldson,,743
Master of the Game,1982,Sidney Sheldon,Adventure stories,489
If Tomorrow Comes,1994,Sidney Sheldon,Adventure stories,501
Assassin's Apprentice,1996,Robin Hobb,American fiction,460
Warhost of Vastmark,1995,Janny Wurts,Fiction,522
The Once and Future King,1996,Terence Hanbury White,,823
Murder in LaMut,2003,"Raymond E. Feist, Joel Rosenberg",Adventure stories,337
Jimmy the Hand,2003,"Raymond E. Feist, S. M. Stirling",Fantasy fiction,368
Well of Darkness,2001,"Margaret Weis, Tracy Hickman",,599
Witness for the Prosecution & Selected Plays,1995,Agatha Christie,,352
The Little House,1998,Philippa Gregory,,368
Mystical Paths,1996,Susan Howatch,English fiction,576
Glittering Images,1996,Susan Howatch,English fiction,512
Glamorous Powers,1996,Susan Howatch,,512
The Mad Ship,2000,Robin Hobb,Fantasy fiction,906
Post Captain,1996,Patrick O'Brian,,474
The Reverse of the Medal,1997,Patrick O'Brian,Adventure stories,261
Miss Marple,1997,Agatha Christie,,359
The Years of Rice and Salt,2003,Kim Stanley Robinson,,772
Spares,1998,Michael Marshall Smith,,317
Gravity,2004,Tess Gerritsen,Science fiction,342
The Wise Woman,2002,Philippa Gregory,,640
Girls' Night in,2000,"Jessica Adams, Chris Manby, Fiona Walker",American fiction,586
The White Album,1993,Joan Didion,,224
The Bonesetter's Daughter,2001,Amy Tan,,352
The Lexus and the Olive Tree,2000,Thomas L. Friedman,,352
'Tis,2000,Frank McCourt,,495
Ocean Star Express,2002,"Mark Haddon, Peter Sutton",Juvenile Fiction,32
A Small Pinch of Weather,2000,Joan Aiken,,239
The Princess of the Chalet School,2000,Elinor Mary Brent-Dyer,Juvenile Fiction,159
Koko,2001,Peter Straub,,634
Tree and Leaf,2001,John Ronald Reuel Tolkien,,176
Partners in Crime,2001,Agatha Christie,,347
Murder in Mesopotamia,2001,Agatha Christie,Detective and mystery stories,264
"The Lord of the Rings, the Return of the King",2003,Jude Fisher,,72
