title,year,countries,genres,director
Born in Flames,1983,,,Lizzie Borden
Pandora's Box,1928,Germany,,G.W. Pabst
Sullivan's Travels,1941,USA,,Preston Sturges
Annie Hall,1977,USA,,Woody Allen
Earth,1930,USSR,,Alexander Dovzhenko
My Darling Clementine,1946,USA,,John Ford
Mouchette,1966,France,,Robert Bresson
A Clockwork Orange,1971,USA;United Kingdom,,Stanley Kubrick
A Canterbury Tale,1944,United Kingdom,,"Michael Powell, Emeric Pressburger"
Videodrome,1983,Canada,,David Cronenberg
Possession,1981,France;Federal Republic of Germany,,Andrzej Zulawski
Soleil Ô,1970,France,,Med Hondo
"Distant Voices, Still Lives",1988,United Kingdom;Federal Republic of Germany,,Terence Davies
Nostalgia for the Light,2010,France;Germany;Chile;Spain;USA,,Patricio Guzmán
Syndromes and a Century,2006,Thailand;France;Austria;Netherlands,,Apichatpong Weerasethakul
The Intruder,2004,France;Republic of Korea,,Claire Denis
Morvern Callar,2001,United Kingdom;Canada,,Lynne Ramsay
In Vanda's Room,2000,Portugal;Germany;Switzerland,,Pedro Costa
Werckmeister Harmonies,2000,Hungary;Germany;France;Switzerland;Italy,,Béla Tarr
Taste of Cherry,1997,Iran,,Abbas Kiarostami
The Quince Tree Sun,1992,Spain,,Víctor Erice
The Last Laugh,1924,Germany,,F.W. Murnau
Harlan County USA,1976,USA,,Barbara Kopple
Cries and Whispers,1972,Sweden,,Ingmar Bergman
Star Wars,1977,USA,,George Lucas
Intolerance,1916,USA,,D.W. Griffith
The Hour of the Furnaces,1968,Argentina,,Fernando Solanas
Europa '51,1952,Italy,,Roberto Rossellini
Napoléon,1927,France,,Abel Gance
The Crowd,1928,USA,,King Vidor
A Touch of Zen,1969,Taiwan,,King Hu
"Je, tu, il, elle",1974,Belgium,,Chantal Akerman
Petite maman,2021,France,,Céline Sciamma
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",2000,USA,,Jonas Mekas
Flowers of Shanghai,1998,Taiwan;Japan,,Hou Hsiao-Hsien
Happy Together,1997,Hong Kong,,Wong Kar Wai
Crash,1996,Canada,,David Cronenberg
Blue,1993,United Kingdom;Japan,,Derek Jarman
Grave of the Fireflies,1988,Japan,,Isao Takahata
The Green Ray,1986,France,,Eric Rohmer
By the Bluest of Seas,1935,USSR,,Boris Barnet
Duck Soup,1933,USA,,Leo McCarey
All about Eve,1950,USA,,Joseph L. Mankiewicz
Brief Encounter,1945,United Kingdom,,David Lean
Suspiria,1977,Italy,,Dario Argento
In a Lonely Place,1950,USA,,Nicholas Ray
The Deer Hunter,1978,USA,,Michael Cimino
Army of Shadows,1969,France;Italy,,Jean-Pierre Melville
Melancholia,2011,Denmark;Sweden;France;Germany;Italy,,Lars von Trier
Twenty Years Later,1984,Brazil,,Eduardo Coutinho
Twin Peaks: Fire Walk With Me,1992,USA,,David Lynch
Pink Flamingos,1972,USA,,John Waters
Raiders of the Lost Ark,1981,USA,,Steven Spielberg
Limite,1931,Brazil,,Mário Peixoto
The Life and Death of Colonel Blimp,1943,United Kingdom,,"Michael Powell, Emeric Pressburger"
Wavelength,1967,Canada,,Michael Snow
I Know Where I'm Going!,1945,United Kingdom,,"Michael Powell, Emeric Pressburger"
L' eclisse,1962,Italy;France,,Michelangelo Antonioni
Double Indemnity,1944,USA,,Billy Wilder
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,United Kingdom;USA,,Stanley Kubrick
One Way or Another,1977,Cuba,,Sara Gómez
Nosferatu,1922,Germany,,F.W. Murnau
Paisan,1946,Italy,,Roberto Rossellini
Zama,2017,Argentina;Brazil;Spain;France;Mexico;Netherlands;Monaco;Portugal;USA;Lebanon;United Kingdom;Dominican Republic,,Lucrecia Martel
Mad Max: Fury Road,2015,USA;Australia,,George Miller
The Tree of Life,2010,USA,,Terrence Malick
Uncle Boonmee Who Can Recall His Past Lives,2010,Thailand;United Kingdom;France;Germany;Spain;Netherlands,,Apichatpong Weerasethakul
The Headless Woman,2008,Argentina;Spain;France;Italy,,Lucrecia Martel
Paris Is Burning,1990,USA;United Kingdom,,Jennie Livingston
"Paris, Texas",1984,Federal Republic of Germany;France;United Kingdom,,Wim Wenders
Les Demoiselles de Rochefort,1967,France,,Jacques Demy
The Birds,1963,USA,,Alfred Hitchcock
The River,1951,USA,,Jean Renoir
An Autumn Afternoon,1962,Japan,,Yasujirō Ozu
Love Streams,1984,USA,,John Cassavetes
Greed,1923,USA,,Erich von Stroheim
Ran,1985,France;Japan,,Akira Kurosawa
Pyaasa,1957,India,,Guru Dutt
Wings of Desire,1987,Federal Republic of Germany;France,,Wim Wenders
Magnolia,1999,USA,,Paul Thomas Anderson
The Magnificent Ambersons,1942,USA,,Orson Welles
Hiroshima mon amour,1959,France;Japan,,Alain Resnais
Letter from an Unknown Woman,1948,USA,,Max Ophuls
Charulata,1964,India,,Satyajit Ray
"The Good, the Bad and the Ugly",1966,Italy,,Sergio Leone
Red Desert,1964,Italy;France,,Michelangelo Antonioni
Black Narcissus,1947,United Kingdom,,"Michael Powell, Emeric Pressburger"
Memories of Underdevelopment,1968,Cuba,,Tomás Gutiérrez Alea
The Exterminating Angel,1962,Mexico,,Luis Buñuel
Under the Skin,2013,United Kingdom;USA;Switzerland,,Jonathan Glazer
Heat,1995,USA,,Michael Mann
Symbiopsychotaxiplasm: Take One,1967,USA,,William Greaves
Out 1,1990,France,,Jacques Rivette
Un chien andalou,1928,France,,Luis Buñuel
L'Argent,1983,France;Switzerland,,Robert Bresson
Last Year at Marienbad,1961,France;Italy,,Alain Resnais
Los olvidados,1950,Mexico,,Luis Buñuel
Ikiru,1952,Japan,,Akira Kurosawa
Out of the Past,1947,USA,,Jacques Tourneur
Vivre sa vie,1962,France,,Jean-Luc Godard
Amarcord,1972,Italy;France,,Federico Fellini
Once upon a Time in America,1983,USA;Italy,,Sergio Leone
The Gospel According to St. Matthew,1964,Italy;France,,Pier Paolo Pasolini
Where Is the Friend's House?,1987,Iran,,Abbas Kiarostami
All about My Mother,1999,Spain;France,,Pedro Almodóvar
A City of Sadness,1989,Taiwan,,Hou Hsiao-Hsien
Orlando,1992,United Kingdom;Russian Federation;Italy;France;Netherlands,,Sally Potter
West of the Tracks,2002,People's Republic of China,,Wang Bing
Le Bonheur,1965,France,,Agnès Varda
Meghe Dhaka Tara,1960,India,,Ritwik Ghatak
Days of Heaven,1978,USA,,Terrence Malick
West Indies: The Fugitive Slaves of Liberty,1979,France;Mauritania,,Med Hondo
Twin Peaks: The Return,2017,USA,,David Lynch
Chinatown,1974,USA,,Roman Polanski
La Grande Illusion,1937,France,,Jean Renoir
India Song,1975,France,,Marguerite Duras
Alien,1979,USA;United Kingdom,,Ridley Scott
Vampyr,1932,Germany;France,,Carl Th. Dreyer
The Watermelon Woman,1997,USA,,Cheryl Dunye
Gertrud,1964,Denmark,,Carl Th. Dreyer
All That Heaven Allows,1955,USA,,Douglas Sirk
Partie de campagne,1936,France,,Jean Renoir
Pickpocket,1959,France,,Robert Bresson
The Seventh Seal,1957,Sweden,,Ingmar Bergman
Trouble in Paradise,1932,USA,,Ernst Lubitsch
Sambizanga,1972,Angola;France;Congo,,Sarah Maldoror
The Wild Bunch,1969,USA,,Sam Peckinpah
Les Enfants du paradis,1945,France,,Marcel Carné
La ciénaga,2001,Argentina;USA;Japan;France;Switzerland;Spain;Brazil,,Lucrecia Martel
It's a Wonderful Life,1947,USA,,Frank Capra
Notorious,1946,USA,,Alfred Hitchcock
Lawrence of Arabia,1962,United Kingdom,,David Lean
Pulp Fiction,1994,USA,,Quentin Tarantino
Raging Bull,1980,USA,,Martin Scorsese
His Girl Friday,1939,USA,,Howard Hawks
Fanny and Alexander,1982,Sweden;France;Federal Republic of Germany,,Ingmar Bergman
The Ascent,1976,USSR,,Larissa Shepitko
Only Angels Have Wings,1939,USA,,Howard Hawks
The Umbrellas of Cherbourg,1964,France;Federal Republic of Germany,,Jacques Demy
Johnny Guitar,1954,USA,,Nicholas Ray
The Colour of Pomegranates,1968,USSR,,Sergei Paradjanov
The Matrix,1999,USA;Australia,,The Wachowskis
There Will Be Blood,2007,USA,,Paul Thomas Anderson
The Thing,1982,USA,,John Carpenter
The Texas Chain Saw Massacre,1974,USA,,Tobe Hooper
The Conformist,1970,Italy;France;Federal Republic of Germany,,Bernardo Bertolucci
"Aguirre, Wrath of God",1972,Federal Republic of Germany,,Werner Herzog
Don't Look Now,1973,United Kingdom;Italy,,Nicolas Roeg
Nashville,1975,USA,,Robert Altman
A Woman under the Influence,1974,USA,,John Cassavetes
To Be or Not to Be,1942,USA,,Ernst Lubitsch
Bringing Up Baby,1938,USA,,Howard Hawks
The Man Who Shot Liberty Valance,1962,USA,,John Ford
Touch of Evil,1958,USA,,Orson Welles
Wild Strawberries,1957,Sweden,,Ingmar Bergman
The Wizard of Oz,1939,USA,,Victor Fleming
"Goodbye, Dragon Inn",2003,Taiwan,,Tsai Ming-liang
The Godfather Part II,1974,USA,,Francis Ford Coppola
Jaws,1975,USA,,Steven Spielberg
Come and See,1985,USSR,,Elem Klimov
La Maman et la Putain,1973,France,,Jean Eustache
Vagabond,1985,France;United Kingdom,,Agnès Varda
The House Is Black,1962,Iran,,Forough Farokhzad
Rio Bravo,1958,USA,,Howard Hawks
Once upon a Time in the West,1968,Italy;USA,,Sergio Leone
A Man Escaped,1956,France,,Robert Bresson
The General,1926,USA,,"Buster Keaton, Clyde Bruckman"
