title,year,countries,genres,director
Eternal Sunshine of the Spotless Mind,2004,USA,,Michel Gondry
Hidden,2004,France;Austria;Germany;Italy,,Michael Haneke
Taste of Cherry,1997,Iran,,Abbas Kiarostami
Pickpocket,1959,France,,Robert Bresson
The Colour of Pomegranates,1968,USSR,,Sergei Paradjanov
The Conformist,1970,Italy;France;Federal Republic of Germany,,Bernardo Bertolucci
Parasite,2019,Republic of Korea,,Bong Joon-ho
Yi Yi,1999,Taiwan;Japan,,Edward Yang
Moonlight,2016,USA,,Barry Jenkins
Battleship Potemkin,1925,USSR,,Sergei M. Eisenstein
Wanda,1970,USA,,Barbara Loden
Kes,1969,United Kingdom,,Ken Loach
A Separation,2011,Iran,,Asghar Farhadi
"Salò, or the 120 Days of Sodom",1975,Italy;France,,Pier Paolo Pasolini
The Conversation,1974,USA,,Francis Ford Coppola
L'Argent,1983,France;Switzerland,,Robert Bresson
Where Is the Friend's House?,1987,Iran,,Abbas Kiarostami
Ikiru,1952,Japan,,Akira Kurosawa
Chinatown,1974,USA,,Roman Polanski
The Seventh Seal,1957,Sweden,,Ingmar Bergman
The Ascent,1976,USSR,,Larissa Shepitko
Wild Strawberries,1957,Sweden,,Ingmar Bergman
Blue Velvet,1986,USA,,David Lynch
The Spirit of the Beehive,1973,Spain,,Víctor Erice
A Brighter Summer Day,1991,Taiwan,,Edward Yang
Modern Times,1936,USA,,Charles Chaplin
The Red Shoes,1948,United Kingdom,,"Michael Powell, Emeric Pressburger"
Touki Bouki,1973,Senegal,,Djibril Diop Mambéty
Sans Soleil,1982,France,,Chris Marker
News from Home,1976,France;Belgium,,Chantal Akerman
Shoah,1985,France,,Claude Lanzmann
The Searchers,1956,USA,,John Ford
La ciénaga,2001,Argentina;USA;Japan;France;Switzerland;Spain;Brazil,,Lucrecia Martel
Lawrence of Arabia,1962,United Kingdom,,David Lean
Jaws,1975,USA,,Steven Spielberg
Tropical Malady,2004,France;Thailand;Germany;Italy;Switzerland,,Apichatpong Weerasethakul
Sátántangó,1994,Hungary;Germany;Switzerland,,Béla Tarr
Sunset Blvd.,1950,USA,,Billy Wilder
Blade Runner,1982,USA;Hong Kong,,Ridley Scott
Some Like It Hot,1959,USA,,Billy Wilder
Late Spring,1949,Japan,,Yasujirō Ozu
Meshes of the Afternoon,1943,USA,,"Maya Deren, Alexander Hackenschmied"
Viridiana,1961,Spain;Mexico,,Luis Buñuel
Eraserhead,1976,USA,,David Lynch
La notte,1961,Italy;France,,Michelangelo Antonioni
Fanny and Alexander,1982,Sweden;France;Federal Republic of Germany,,Ingmar Bergman
